subject	first_block	acc_slash	acc_z	acc_absent	acc_present	acc_global_LVF	acc_global_RVF	acc_local_LVF	acc_local_RVF	rt_global_LVF	rt_global_RVF	rt_local_LVF	rt_local_RVF	rt_overall	duration_s	exclude_many_gos	exclude_low_acc	exclude_low_rt	exclude_high_rt	exclude_long_duration	exclude	ehi_i1_writing	ehi_i2_throwing	ehi_i3_toothbrush	ehi_i4_spoon	ehi_total	age	country	sex	education	race	hispanic_ethnicity	task_experience_response	task_experience_other_response	open_ended_feedback_response
5b5d13d25256470001bc5ef2	slash	93.75	92.5	84.375	95.3125	100	100	87.5	93.75	404.5	441	469.5	488	440	528.747	0	0	0	0	0	0	-25	25	-25	-25	-50	27	US	Male	12	White	No	No	NA	NA
5b666901f7798c000182c01c	slash	97.5	97.5	90.625	99.21875	100	100	96.875	100	680.5	717.5	694	728.5	703	664.325	0	0	0	0	0	0	25	25	25	25	100	38	US	Male	12	White	No	No	NA	it was fun
5b76d0f5fca8d9000139404c	slash	93.75	93.75	75	98.4375	96.875	100	96.875	100	581.5	620	637.5	621	627.5	572.049	0	0	0	0	0	0	25	12.5	25	25	87.5	32	US	Male	14	White	No	No	NA	NA
5b7c877f9dc643000172043d	slash	91.25	95	96.875	92.1875	100	100	78.125	90.625	644	640	757.5	786	669	663.503	0	0	0	0	0	0	25	25	25	25	100	39	US	Male	18	White	No	No	NA	NA
5b9530390f85f600015705bf	z	98.75	86.25	87.5	93.75	96.875	90.625	93.75	93.75	1013.5	954.5	913.5	888.5	931.5	784.061	0	0	0	0	0	0	25	25	25	25	100	32	US	Female	16	White	No	No	NA	n/a
5b9dd322f074140001050095	z	95	91.25	81.25	96.09375	96.875	93.75	96.875	96.875	870.5	878	872.5	856.5	866.5	752.309	0	0	0	0	0	0	-25	12.5	-25	-12.5	-50	35	US	Female	12	White	No	No	NA	NA
5ba854ed7c0ebe0001272f2d	z	97.5	90	96.875	92.96875	100	100	78.125	93.75	912.5	895.5	1018.5	960	931	761.416	0	0	0	0	0	0	25	25	25	12.5	87.5	31	US	Male	16	White	No	No	NA	NA
5ba855d47c0ebe0001272f70	slash	97.5	95	93.75	96.875	100	100	87.5	100	790.5	849.5	923.5	871	867	776.976	0	0	0	0	0	0	25	-12.5	-25	25	12.5	28	US	Male	16	White	No	No	NA	NA
5bb8740a0cb04c00014f72e9	slash	88.75	93.75	84.375	92.96875	100	84.375	93.75	93.75	534.5	685	516	600	566.5	663.812	0	0	0	0	0	0	25	25	25	12.5	87.5	27	US	Female	16	Multiple	No	No	NA	NA
5bbe6691ba8d7d0001951ef9	slash	97.5	93.75	78.125	100	100	100	100	100	340	350	396	322.5	343.5	626.961	0	0	0	0	0	0	25	12.5	25	25	87.5	24	US	Female	16	Black or African American	Yes	No	NA	NA
5bc0ac845a09ea00012e2d30	slash	95	91.25	65.625	100	100	100	100	100	522.5	559	529	623.5	552	558.282	0	0	0	0	0	0	-12.5	-12.5	-25	0	-50	35	US	Female	12	White	No	No	NA	NA
5bcc60b95c2b810001dc68e2	z	97.5	97.5	96.875	97.65625	96.875	96.875	96.875	100	870	902.5	860.5	869	870	605.315	0	0	0	0	0	0	-25	-25	-25	-25	-100	27	US	Male	21	White	No	No	NA	NA
5be2991826f9ec00013f6f40	slash	97.5	98.75	96.875	98.4375	100	96.875	100	96.875	508.5	594	482	532	534.5	577.195	0	0	0	0	0	0	25	25	25	25	100	26	US	Male	16	White	No	No	NA	NA
5be31629e69dde0001a2fdd3	z	56.25	65	87.5	53.90625	96.875	100	3.125	15.625	444	470.5	2000	2000	580.5	738.062	0	1	0	0	0	1	12.5	12.5	12.5	12.5	50	29	US	Female	18	White	Yes	No	NA	NA
5bea832a4fbb6f00017ea3e9	slash	96.25	98.75	90.625	99.21875	100	100	96.875	100	808.5	830.5	816	845.5	829.5	684.967	0	0	0	0	0	0	25	25	25	12.5	87.5	35	US	Male	12	Black or African American	No	No	NA	NA
5bf28a086d4c3e00014410f7	slash	92.5	96.25	81.25	97.65625	96.875	100	93.75	100	435	434	464	419.5	436.5	590.432	0	0	0	0	0	0	-25	-25	-12.5	-25	-87.5	22	US	Male	12	Black or African American	No	No	NA	NA
5bf4f905345b9b00016eda45	slash	95	90	62.5	100	100	100	100	100	465	519	554.5	461.5	486.5	646.459	0	0	0	0	0	0	25	25	25	25	100	32	US	Male	8	White	Yes	No	NA	There was a similar task I did involving the mouse and selecting the shape that was different from a group of 4 shapes while ignoring the colors, but nothing like this exact experiment.
5c060efc891bb4000121c377	z	86.25	88.75	50	96.875	100	100	96.875	90.625	597.5	630	947.5	759.5	710.5	536.426	0	0	0	0	0	0	25	25	25	25	100	40	US	Male	14	White	No	No	NA	Thank you
5c06b3f64a2b7b0001c3c185	slash	92.5	96.25	87.5	96.09375	96.875	90.625	96.875	100	645	666	676	697.5	676	697.935	0	0	0	0	0	0	25	25	25	25	100	37	US	Female	16	Multiple	Yes	No	NA	Interesting exercise. Good luck with your research.
5c0a22affe40eb00016262b6	z	83.75	85	43.75	94.53125	100	90.625	90.625	96.875	442	475	470	485.5	471.5	995.751	0	0	0	0	0	0	25	25	25	25	100	28	US	Female	16	White	No	No	NA	NA
5c109903e6eb4e0001b29e44	slash	72.5	78.75	71.875	76.5625	96.875	93.75	65.625	50	886.5	888	1077	1770.5	950.5	754.072	0	0	0	0	0	0	25	25	25	25	100	30	US	Female	16	White	No	No	NA	NA
5c16e72c91defa000115c8ec	z	98.75	98.75	96.875	99.21875	100	100	96.875	100	623.5	705.5	689	680.5	668.5	590.722	0	0	0	0	0	0	25	25	25	25	100	31	US	Male	16	White	No	No	NA	no issues or additional commentary
5c17294778ee390001ab19e5	slash	82.5	87.5	65.625	89.84375	87.5	90.625	81.25	100	855.5	898	835	805.5	839	631.351	0	0	0	0	0	0	25	25	25	25	100	25	US	Male	16	White	No	No	NA	NA
5c284ae48e845b0001fc40aa	z	92.5	81.25	90.625	85.9375	71.875	75	96.875	100	703	688.5	662	695.5	694	1254.038	0	0	0	0	0	0	-25	-25	-25	-25	-100	37	US	Male	16	White	No	No	NA	NA
5c28e9dfda51990001e3204b	slash	82.5	90	71.875	89.84375	87.5	90.625	90.625	90.625	782	765	875	988	854	694.491	0	0	0	0	0	0	-25	25	25	-25	0	38	US	Female	14	White	No	No	NA	NA
